choice,FSG_1,FSG_2,FSG_3,FSG_4,FSG_5,FSO_1,FSO_2,FSO_3,FSO_4,FSO_5,TT_1,TT_2,TT_3,TT_4,TT_5
5,1190,3153,1730,526,1184,1597,6816,15564,3918,228,699,246,246,347,463
4,526,3153,1730,1184,1190,3918,6816,15564,228,1597,347,246,246,463,412
1,3153,1730,526,1190,1463,6816,15564,3918,1597,2508,724,724,1000,1368,1392
2,1730,3153,526,1190,1463,15564,6816,3918,1597,2508,724,724,1000,1368,1392
2,526,1184,3153,1730,1190,3918,228,6816,15564,1597,972,0,1512,1512,2608
1,1239,1504,671,527,526,12395,198,1492,106,3918,1828,0,1600,1828,972
4,527,1504,671,1239,2477,106,198,1492,12395,10492,1828,0,1600,1828,1828
4,1190,1730,526,3153,671,1597,15564,3918,6816,1492,1368,724,1000,724,1600
3,526,1730,3153,1190,1463,3918,15564,6816,1597,2508,1000,724,724,1368,1392
1,2304,324,0,666,526,8249,6322,40,1355,3918,0,0,660,660,0
4,442,143,1148,3610,2304,457,65,1063,5189,8249,0,0,0,1840,0
5,1265,143,1148,442,898,315,65,1063,457,56296,0,0,0,0,1160
5,442,309,4054,5190,1223,457,33,2456,59651,42422,0,0,588,588,1800
3,4054,309,770,5190,379,2456,33,289,59651,225,588,0,0,588,1176
1,2121,2109,1792,360,4054,41669,1759,2677,100,2456,2260,1192,2784,2784,588
1,578,2109,1792,360,2932,105,1759,2677,100,2181,1680,1192,2784,2784,1852
4,646,75,2274,927,2109,194,315,8347,2632,1759,2380,0,2380,0,1192
4,54,5190,163,4054,927,1601,59651,1310,2456,2632,398,250,398,250,0
2,1331,1325,45,384,10325,9861,30295,111,551,37322,0,337,230,230,337
2,1314,898,6617,1614,1331,6220,56296,95932,1645,9861,0,249,249,403,0
1,44,1314,898,6617,1614,2242,6220,56296,95932,1645,1328,0,600,600,1140
3,1765,66,3610,898,1314,655,0,5189,56296,6220,1296,0,0,1612,0
3,361,44,1645,1399,3610,217,2242,590,1189,5189,976,0,0,1216,0
1,2121,388,702,148,867,41669,252,792,3677,197,836,0,0,836,0
1,1792,388,702,148,6438,2677,252,792,3677,77335,1200,0,0,836,836
5,1828,1331,45,384,1325,8660,9861,111,551,30295,0,0,230,230,337
4,1774,867,574,3418,379,1950,197,593,6650,225,334,0,247,565,565
4,0,854,63,2725,867,5333,263,1050,3107,197,488,0,488,549,0
4,20452,401,2705,2469,842,83361,4547,89841,17977,956,556,556,556,0,820
3,2705,401,2469,20452,842,89841,4547,17977,83361,956,556,556,0,556,820
1,1314,63,0,898,6617,6220,1050,5333,56296,95932,1544,0,0,892,892
2,105,3418,77,379,449,70,6650,195,225,349,0,0,0,0,900
1,4054,806,1153,2792,379,2456,112,1903,1896,225,1664,0,0,0,0
3,1774,574,5190,867,1153,1950,593,59651,197,1903,449,0,895,247,0
2,91,4358,889,1199,927,401,16200,480,13735,2632,0,0,476,476,0
2,217,1617,1816,233,163,216,1259,3919,1470,1310,0,0,609,0,759
2,217,1617,1816,233,163,216,1259,3919,1470,1310,0,0,1884,0,2200
4,6617,1314,898,1614,233,95932,6220,56296,1645,1470,600,0,600,1140,0
2,27,2701,1668,3400,1314,120,4208,10866,17619,6220,0,0,0,1400,0
2,85,2773,183,733,2701,0,4402,328,5931,4208,0,0,0,0,0
4,1188,1190,1463,2705,733,3200,1597,2508,89841,5931,334,0,123,489,0
5,44,113,1314,1645,1614,2242,0,6220,590,1645,1124,0,1140,1124,0
3,601,1828,2922,1324,1335,1054,8660,8606,2309,5049,757,0,0,883,883
3,0,3479,4160,2473,1817,697,27106,19515,1131,1498,222,0,0,247,369
1,2121,148,6438,388,1469,41669,3677,77335,252,3123,0,0,0,836,1744
2,148,2121,6438,388,1556,3677,41669,77335,252,434,0,0,0,836,1064
5,1556,148,6438,388,2121,434,3677,77335,252,41669,1064,0,0,836,0
2,148,2121,6438,388,1556,3677,41669,77335,252,434,0,0,0,836,1064
2,434,4160,368,1256,1600,87,19515,3797,3675,3585,0,1900,0,0,0
2,678,1563,254,360,1792,1653,1184,3056,100,2677,0,0,0,1600,1600
4,3400,27,1668,2701,4409,17619,120,10866,4208,19541,734,349,349,349,734
4,1600,434,368,1256,262,3585,87,3797,3675,930,0,0,0,0,700
3,368,434,1256,1600,262,3797,87,3675,3585,930,0,0,0,0,588
2,456,435,176,2952,625,0,100,4754,4534,577,520,520,520,520,1644
1,435,456,176,2952,625,100,0,4754,4534,577,520,520,520,520,1644
1,2952,456,176,625,449,4534,0,4754,577,349,0,0,0,256,490
1,2952,456,176,625,1424,4534,0,4754,577,1132,0,0,0,256,527
1,435,456,176,2952,625,100,0,4754,4534,577,156,156,156,156,256
2,456,435,176,2952,625,0,100,4754,4534,577,156,156,156,156,367
1,2952,456,176,625,449,4534,0,4754,577,349,156,156,156,367,490
1,2952,456,176,625,449,4534,0,4754,577,349,156,156,156,367,490
1,2952,456,176,625,449,4534,0,4754,577,349,520,520,520,1644,1908
3,176,456,2952,625,449,4754,0,4534,577,349,520,520,520,1644,1908
2,456,435,176,2952,625,0,100,4754,4534,577,520,520,520,520,1644
1,435,456,176,2952,625,100,0,4754,4534,577,520,520,520,520,1644
2,456,2952,176,625,449,0,4534,4754,577,349,0,0,0,1144,1908
2,456,435,176,2952,625,0,100,4754,4534,577,520,520,520,520,1144
2,456,435,176,2952,625,0,100,4754,4534,577,520,520,520,520,1644
5,449,456,176,625,2952,349,0,4754,577,4534,490,156,156,367,156
2,456,2952,176,625,449,0,4534,4754,577,349,156,156,156,367,490
4,2952,435,176,456,625,4534,100,4754,0,577,156,156,156,156,367
1,456,435,176,2952,625,0,100,4754,4534,577,156,156,156,156,367
3,1148,143,1265,442,176,1063,65,315,457,4754,0,0,0,0,156
5,267,91,889,1199,4358,3670,401,480,13735,16200,2700,0,748,748,968
5,267,91,889,1199,4358,3670,401,480,13735,16200,808,169,560,560,169
5,1381,91,889,1199,4358,1629,401,480,13735,16200,743,169,560,560,169
3,1199,889,4358,267,1381,13735,480,16200,3670,1629,0,0,476,829,743
4,267,889,1199,4358,2939,3670,480,13735,16200,2361,829,0,0,476,829
4,1199,4358,889,91,1381,13735,16200,480,401,1629,560,169,560,169,743
2,4358,91,889,1199,1381,16200,401,480,13735,1629,169,169,560,560,743
5,2014,91,889,1199,4358,2229,401,480,13735,16200,3480,1056,1176,1176,1180
5,2014,91,889,1199,4358,2229,401,480,13735,16200,958,314,392,392,354
2,91,4358,889,1199,2014,401,16200,480,13735,2229,314,354,392,392,958
4,1622,629,1044,834,1817,7598,779,4743,1250,1498,708,0,0,0,882
1,834,629,1044,1622,1817,1250,779,4743,7598,1498,0,0,0,708,882
5,1622,629,1044,575,834,7598,779,4743,104,1250,2392,1120,1120,2000,1120
3,834,629,898,1044,575,1250,779,56296,4743,104,393,393,1366,393,762
3,1044,629,834,1622,575,4743,779,1250,7598,104,0,0,0,2392,2000
3,1044,629,834,1622,1817,4743,779,1250,7598,1498,0,0,0,2392,2996
5,1816,646,2274,1760,1025,3919,194,8347,14651,104,1944,900,900,900,900
1,2274,646,1760,1813,1816,8347,194,14651,2566,3919,0,0,0,600,504
2,646,2274,1760,1813,927,194,8347,14651,2566,2632,0,0,0,600,736
2,646,1025,2274,1760,1813,194,104,8347,14651,2566,0,0,0,0,1500
5,1813,646,2274,1760,1025,2566,194,8347,14651,104,1500,0,0,0,0
5,927,646,1760,1813,2274,2632,194,14651,2566,8347,736,0,0,600,0
5,927,646,1760,1813,2274,2632,194,14651,2566,8347,736,0,0,600,0
2,646,2274,1760,1813,927,194,8347,14651,2566,2632,0,0,0,1500,2380
3,1760,646,2274,1813,927,14651,194,8347,2566,2632,0,0,0,1500,2380
3,2274,646,1025,1760,1813,8347,194,104,14651,2566,0,0,0,0,1500
5,1813,646,2274,1760,1025,2566,194,8347,14651,104,1500,0,0,0,0
5,1813,646,2274,1760,2121,2566,194,8347,14651,41669,600,0,0,0,1438
3,2274,646,2121,1760,1813,8347,194,41669,14651,2566,0,0,1438,0,600
1,2274,646,1760,1813,927,8347,194,14651,2566,2632,0,0,0,1500,2380
2,646,2274,1760,1813,927,194,8347,14651,2566,2632,0,0,0,1500,2380
4,84,90,709,148,3961,809,22,269,2754,6340,0,0,0,0,0
3,2705,401,2469,20452,842,89841,4547,17977,83361,956,556,556,0,556,820
4,20452,401,2705,2469,842,83361,4547,89841,17977,956,556,556,556,0,820
3,1760,646,2274,1813,2705,14651,194,8347,2566,89841,0,0,0,600,167
5,927,646,1760,1813,2274,2632,194,14651,2566,8347,736,0,0,600,0
2,646,1223,2274,1760,1813,194,42422,8347,14651,2566,0,1038,0,0,600
5,1813,646,2274,1760,1223,2566,194,8347,14651,42422,600,0,0,0,1038
1,435,456,176,2952,646,100,0,4754,4534,194,520,520,520,520,0
3,176,456,435,2952,625,4754,0,100,4534,577,520,520,520,520,1644
4,625,456,176,2952,449,577,0,4754,4534,349,1644,520,520,520,1908
4,625,456,176,2952,449,577,0,4754,4534,349,1644,520,520,520,1908
4,625,456,176,2952,449,577,0,4754,4534,349,256,0,0,0,490
4,2952,456,176,1905,625,4534,0,4754,641,577,0,0,0,572,256
4,1813,646,1760,2274,176,2566,194,14651,8347,4754,689,397,397,397,0
2,646,2274,1760,1813,927,194,8347,14651,2566,2632,397,397,397,689,822
3,1792,578,2109,360,1556,2677,105,1759,100,434,695,591,547,695,557
3,1792,2109,2932,360,1028,2677,1759,2181,100,4333,695,547,702,695,725
5,635,1394,1689,96,3375,5147,1528,6187,1841,17328,2100,836,1300,2100,0
5,63,946,854,3610,2725,1050,236,263,5189,3107,1956,960,1204,1676,0
5,3610,854,63,0,2725,5189,263,1050,5333,3107,1600,0,1404,1404,1204
3,1028,2109,2932,1556,63,4333,1759,2181,434,1050,1976,0,876,1896,1404
1,2109,2932,1028,1556,1548,1759,2181,4333,434,12008,0,876,1976,1896,1976
4,1556,2109,1028,2932,1548,434,1759,4333,2181,12008,557,0,578,289,578
5,1556,2109,1792,360,2932,434,1759,2677,100,2181,557,547,695,695,702
3,1792,578,2109,360,1028,2677,105,1759,100,4333,695,591,547,695,725
4,360,578,1792,2109,2932,100,105,2677,1759,2181,2784,1680,2784,1192,1852
3,1792,2109,2932,360,1028,2677,1759,2181,100,4333,695,547,702,695,725
5,2109,854,63,0,2725,1759,263,1050,5333,3107,547,0,488,488,549
3,63,854,898,0,3610,1050,263,56296,5333,5189,488,0,717,488,631
5,63,1504,671,527,1617,1050,198,1492,106,1259,488,0,507,731,2021
4,527,1504,671,1239,2477,106,198,1492,12395,10492,731,0,507,731,731
5,671,610,262,436,4358,1492,47,930,885,16200,507,421,421,421,2183
3,368,434,1256,1600,262,3797,87,3675,3585,930,0,0,0,0,700
4,1600,434,368,1256,262,3585,87,3797,3675,930,0,0,0,0,588
2,585,350,258,3610,368,781,1083,813,5189,3797,0,0,1780,2336,0
3,1850,799,66,295,148,1213,148,1777,197,3677,504,489,638,504,547
4,295,799,1850,66,148,197,148,1213,1777,3677,504,489,504,638,547
5,1850,1911,1650,295,66,1213,686,9100,197,1777,504,0,0,434,0
2,66,2121,1650,1911,295,1777,41669,9100,686,197,0,552,0,0,434
1,4406,1192,2201,3289,3401,10446,2578,30672,9748,21946,0,1400,1400,2500,2500
2,2199,2677,2449,1506,36,9420,9375,6044,632,276,724,724,2076,1312,1736
2,1023,1556,1101,148,2199,194,434,460,3677,9420,464,0,608,1064,724
2,1556,2121,1101,148,6438,434,41669,460,3677,77335,0,1064,608,1064,1064
2,148,2121,6438,388,1556,3677,41669,77335,252,434,0,0,0,836,0
3,6438,148,2121,388,1556,77335,3677,41669,252,434,0,0,0,836,1064
2,2209,1325,45,384,10325,2410,30295,111,551,37322,0,388,318,318,0
4,1840,975,100,4409,2209,2872,1058,2641,19541,2410,0,0,0,1630,0
4,384,1331,45,1325,10325,551,9861,111,30295,37322,768,0,768,1120,1120
2,1023,1556,1101,148,1331,194,434,460,3677,9861,464,0,608,1064,0
4,2792,806,1153,1247,163,1896,112,1903,4727,1310,0,0,0,600,600
2,895,3830,619,620,0,0,7566,1542,1827,4573,0,0,480,480,480
1,3830,895,619,620,0,7566,0,1542,1827,4573,0,0,480,480,480
2,619,1223,620,0,1424,1542,42422,1827,4573,1132,0,0,0,0,1048
3,1028,2932,2109,1556,1000,4333,2181,1759,434,665,1976,876,0,1896,0
2,3210,1491,2040,234,995,3884,8362,2124,261,1513,768,768,1600,4260,1900
2,108,801,1813,1816,3210,590,2775,2566,3919,3884,612,0,612,875,240
5,646,801,1813,1816,2274,194,2775,2566,3919,8347,934,0,612,875,934
4,2473,3479,0,4160,801,1131,27106,697,19515,2775,712,0,700,0,0
3,2274,108,1813,646,3479,8347,590,2566,194,27106,600,0,0,600,0
3,1813,108,2274,646,1760,2566,590,8347,194,14651,0,0,600,600,600
1,1813,108,2274,646,1760,2566,590,8347,194,14651,0,0,1400,1400,1400
3,1325,45,2209,384,1813,30295,111,2410,551,2566,1200,1160,800,1000,0
2,82,625,1424,176,2952,0,577,1132,4754,4534,744,0,700,1144,1144
3,2925,1645,1000,6330,1424,4548,7010,665,11383,1132,594,0,0,594,219
5,3210,1730,1188,842,3153,3884,15564,3200,956,6816,0,420,589,600,420
5,1325,106,7024,2469,20452,30295,327,12895,17977,83361,0,672,672,1004,1208
2,456,2952,176,625,7024,0,4534,4754,577,12895,0,0,0,1144,672
4,625,456,176,2952,1424,577,0,4754,4534,1132,1144,0,0,0,2068
3,702,456,1792,360,176,792,0,2677,100,4754,362,0,0,0,0
2,1220,2322,1309,7024,1447,18568,867,2066,12895,2000,0,261,507,551,650
4,148,388,702,1792,1220,3677,252,792,2677,18568,836,0,0,1200,0
5,388,85,183,733,4358,252,0,328,5931,16200,0,0,0,0,1202
1,2773,85,183,733,1381,4402,0,328,5931,1629,0,0,0,0,684
4,1188,842,67,2705,20452,3200,956,2329,89841,83361,143,0,0,234,234
4,842,1190,1188,1463,552,956,1597,3200,2508,3932,345,0,334,123,294
3,1463,1190,3153,1188,842,2508,1597,6816,3200,956,123,0,699,334,345
1,1025,646,2274,1760,1491,104,194,8347,14651,690,0,0,0,0,944
5,1813,646,2274,1760,1025,2566,194,8347,14651,104,1500,0,0,0,0
4,1760,646,2274,1025,1813,14651,194,8347,104,2566,0,0,0,0,600
4,1760,646,2274,1025,1813,14651,194,8347,104,2566,0,0,0,0,600
5,927,646,1760,1813,2274,2632,194,14651,2566,8347,736,397,397,689,397
4,1813,646,1760,2274,927,2566,194,14651,8347,2632,689,397,397,397,822
4,1813,646,1760,2274,927,2566,194,14651,8347,2632,689,397,397,397,822
5,927,646,1760,1813,2274,2632,194,14651,2566,8347,822,397,397,689,397
5,646,217,1816,233,1617,194,216,3919,1470,1259,397,0,609,0,0
4,36,1506,2199,2677,233,276,632,9420,9375,1470,1056,748,1256,1256,0
1,1028,1548,1491,2932,1506,4333,12008,690,2181,632,0,0,888,1412,748
1,1028,1548,1491,2932,1556,4333,12008,690,2181,434,0,0,888,1412,1816
1,1617,217,1816,233,163,1259,216,3919,1470,1310,0,0,609,0,759
5,163,217,1816,233,1617,1310,216,3919,1470,1259,759,0,609,0,0
5,163,217,1816,233,1617,1310,216,3919,1470,1259,759,0,609,0,0
1,1617,217,1816,233,163,1259,216,3919,1470,1310,0,0,609,0,759
3,1816,217,1617,233,163,3919,216,1259,1470,1310,609,0,0,0,759
5,233,3153,1730,526,1463,1470,6816,15564,3918,2508,0,246,246,347,419
2,3153,1463,1730,526,1190,6816,2508,15564,3918,1597,246,419,246,347,412
5,1190,3153,1184,526,1730,1597,6816,228,3918,15564,1368,900,1188,1528,900
3,1184,3153,1730,526,1188,228,6816,15564,3918,3200,1188,900,900,1528,2492
5,1190,1184,3153,1730,526,1597,228,6816,15564,3918,2608,0,1512,1512,972
5,36,2199,2449,1506,2677,276,9420,6044,632,9375,1064,0,1700,884,0
3,2199,2677,1506,36,2449,9420,9375,632,276,6044,0,0,884,1308,1700
5,322,1506,2199,36,2677,1712,632,9420,276,9375,732,0,311,488,311
1,1506,2677,2199,36,322,632,9375,9420,276,1712,0,884,884,1436,2356
1,1331,74,193,0,686,3291,130,375,1064,368,1589,0,0,0,845
4,2063,167,442,231,0,3878,356,125,2347,1064,436,0,436,436,0
2,1324,1335,1651,1828,84,2309,5049,22007,8660,809,423,423,423,576,1177
2,686,863,724,280,1324,368,7471,2219,5127,2309,0,0,0,2452,1180
5,231,803,1345,58,869,2347,1587,6319,189,214,2876,0,0,1668,3664
5,803,2201,903,1324,1192,1587,30672,735,2309,2578,0,0,267,630,0
2,1192,1220,2201,1324,1335,2578,18568,30672,2309,5049,0,949,0,630,630
3,1563,678,2701,254,360,1184,1653,4208,3056,100,0,0,1047,0,556
4,360,678,254,1563,1792,100,1653,3056,1184,2677,1600,0,0,0,1600
5,483,260,275,889,2578,884,128,4672,480,3929,0,0,0,3400,0
1,1028,81,1491,1548,2932,4333,491,690,12008,2181,406,295,295,406,581
2,81,1028,1491,1548,2932,491,4333,690,12008,2181,295,406,295,406,581
4,86,527,2477,1239,1491,103,106,10492,12395,690,2500,0,0,0,944
2,527,1239,2477,86,671,106,12395,10492,103,1492,0,0,0,2500,3000
2,3479,4160,0,2473,527,27106,19515,697,1131,106,0,0,700,712,0
5,1817,4160,3479,2473,135,1498,19515,27106,1131,169,369,0,0,247,222
5,4160,1504,671,527,1239,19515,198,1492,106,12395,0,0,507,731,731
1,4160,258,709,84,148,19515,813,269,809,2754,1381,537,813,813,813
4,2063,442,231,3153,233,3878,125,2347,6816,1470,0,0,0,1054,609
4,0,413,817,1491,231,281,4402,1505,8362,2347,1688,0,1688,2600,0
5,1335,1828,601,1324,2922,5049,8660,1054,2309,8606,1900,0,2824,1900,0
5,1645,6330,1395,1000,2925,7010,11383,527,665,4548,1200,800,2172,1200,800
2,78,1816,1617,233,6330,112,3919,1259,1470,11383,0,0,1800,1800,800
1,1192,2201,903,1324,1335,2578,30672,735,2309,5049,0,0,267,630,630
1,1192,2201,903,1324,1335,2578,30672,735,2309,5049,0,0,1024,2868,2868
5,1192,1828,2922,1324,1335,2578,8660,8606,2309,5049,0,0,0,883,883
3,1491,81,1028,1548,629,690,491,4333,12008,779,197,197,414,414,0
4,36,2677,2199,1506,1491,276,9375,9420,632,690,488,311,311,0,197
2,68,1841,114,274,1506,45,7523,359,5555,632,0,0,0,0,0
5,60,2932,1028,1556,2109,26,2181,4333,434,1759,0,876,1976,1896,0
4,1622,629,1044,834,1817,7598,779,4743,1250,1498,708,0,0,0,882
5,1817,629,1044,1622,834,1498,779,4743,7598,1250,882,0,0,708,0
3,0,63,898,6617,1447,5333,1050,56296,95932,2000,0,0,892,892,748
1,699,110,0,681,63,2341,0,30,6536,1050,0,622,676,811,0
4,772,106,7024,1309,1192,1424,327,12895,2066,2578,1008,836,836,0,1000
5,10325,45,1331,1325,384,37322,111,9861,30295,551,920,0,768,920,0
4,1331,45,384,1325,10325,9861,111,551,30295,37322,230,0,0,276,276
2,10325,1325,45,384,1331,37322,30295,111,551,9861,0,0,920,920,1120
2,105,3418,77,379,449,70,6650,195,225,349,0,0,0,0,900
4,620,449,619,3418,379,1827,349,1542,6650,225,1024,0,1024,900,0
3,619,895,3830,620,442,1542,0,7566,1827,457,480,0,0,480,1756
2,895,3830,619,620,0,0,7566,1542,1827,4573,0,0,480,480,480
2,105,5190,77,379,3830,70,59651,195,225,7566,0,1100,0,0,0
1,3418,449,619,620,379,6650,349,1542,1827,225,900,0,1024,1024,0
5,449,806,1153,2792,1223,349,112,1903,1896,42422,0,0,0,0,400
1,1153,806,2792,163,54,1903,112,1896,1310,1601,0,0,0,600,600
5,450,578,2932,148,2121,401,105,2181,3677,41669,0,0,191,381,381
3,77,105,3418,379,449,195,70,6650,225,349,0,0,0,0,336
4,1774,867,574,5190,379,1950,197,593,59651,225,334,0,247,740,0
4,1774,867,574,3418,379,1950,197,593,6650,225,334,0,247,565,565
5,552,1556,148,6438,2121,3932,434,3677,77335,41669,900,768,400,400,400
5,2932,1556,148,6438,2121,2181,434,3677,77335,41669,1192,768,400,400,400
5,1556,625,1424,176,1223,434,577,1132,4754,42422,768,0,700,1144,1300
4,6438,148,2121,1556,625,77335,3677,41669,434,577,238,238,238,222,0
3,2121,148,1556,6438,2932,41669,3677,434,77335,2181,238,238,222,238,342
3,148,1556,2932,2121,6438,3677,434,2181,41669,77335,238,222,342,238,238
4,2121,1556,148,2932,6438,41669,434,3677,2181,77335,238,222,238,342,238
2,148,2121,6438,388,1556,3677,41669,77335,252,434,0,0,0,836,768
1,2121,148,6438,388,1556,41669,3677,77335,252,434,0,0,0,836,1064
4,388,148,2121,6438,1556,252,3677,41669,77335,434,289,0,0,0,317
1,6438,148,2121,388,1556,77335,3677,41669,252,434,0,0,0,289,317
1,1265,143,1148,442,6617,315,65,1063,457,95932,0,0,0,0,1160
5,1424,456,176,625,2952,1132,0,4754,577,4534,2068,0,0,1144,0
4,267,889,4358,1199,1309,3670,480,16200,13735,2066,2544,0,1424,0,1124
4,267,889,4358,1199,2939,3670,480,16200,13735,2361,2544,0,1424,0,2544
3,1614,113,3610,1314,1645,1645,0,5189,6220,590,0,0,947,403,465
2,303,1850,66,295,1614,180,1213,1777,197,1645,0,0,996,0,0
2,1645,1000,2925,6330,483,7010,665,4548,11383,884,0,0,594,594,935
5,1645,260,275,889,2578,7010,128,4672,480,3929,0,0,0,1046,0
5,1199,260,275,889,2578,13735,128,4672,480,3929,1046,0,0,1046,0
5,260,974,16,1172,898,128,572,4009,726,56296,0,0,0,660,2470
4,508,16,1172,974,1938,4824,4009,726,572,5322,831,0,660,0,831
2,2932,513,2109,1556,1172,2181,104,1759,434,726,0,744,876,1332,1500
3,1184,526,3153,1730,1190,228,3918,6816,15564,1597,972,0,1180,1180,2276
2,456,898,176,2952,1730,0,56296,4754,4534,15564,156,1716,156,156,420
2,456,898,176,2952,625,0,56296,4754,4534,577,156,1716,156,156,367
3,176,456,1148,2952,625,4754,0,1063,4534,577,156,156,1720,156,367
5,625,456,176,2952,1148,577,0,4754,4534,1063,367,156,156,156,1720
3,176,456,1223,2952,625,4754,0,42422,4534,577,0,0,588,0,367
5,625,435,176,2952,456,577,100,4754,4534,0,256,0,0,0,0
2,456,1424,176,2952,625,0,1132,4754,4534,577,156,572,156,156,367
2,456,1424,176,2952,625,0,1132,4754,4534,577,156,572,156,156,367
5,625,456,176,2952,1424,577,0,4754,4534,1132,1144,0,0,0,2068
1,2925,6330,1645,1000,176,4548,11383,7010,665,4754,0,0,594,594,0
3,1645,6330,2925,1000,3400,7010,11383,4548,665,17619,594,0,0,594,819
3,1395,6330,2925,1000,1645,527,11383,4548,665,7010,752,280,280,758,594
2,6330,2925,1645,1000,799,11383,4548,7010,665,937,0,0,1200,1200,2100
2,6330,2925,1645,1000,3400,11383,4548,7010,665,17619,0,0,1200,1200,1900
5,3400,6330,1645,1000,2925,17619,11383,7010,665,4548,1900,0,1200,1200,0
5,3400,6330,1645,1000,2925,17619,11383,7010,665,4548,1900,0,1200,1200,0
4,1000,6330,1645,2925,3400,665,11383,7010,4548,17619,1200,0,1200,0,1900
4,1000,6330,1645,2925,3400,665,11383,7010,4548,17619,1200,0,1200,0,1900
1,1239,1504,671,527,6330,12395,198,1492,106,11383,1828,0,1600,1828,0
3,1622,403,3708,347,671,7598,40,6001,431,1492,1012,1012,0,2300,1600
1,3708,403,1622,347,629,6001,40,7598,431,779,0,350,350,813,890
2,3708,2473,1622,347,629,6001,1131,7598,431,779,173,857,261,724,890
4,347,3708,1622,4160,3479,431,6001,7598,19515,27106,724,173,261,898,898
